This data is a reformatted version of this data
https://www-nds.iaea.org/amdc/ame2016/mass16.txt
obtained from https://www-nds.iaea.org/amdc/
excluding theoretical values.
KEY:
N - Number of neutrons
Z - Number of protons
A - Atomic mass number
EL - Element label
DEL_M (keV) - Mass excess in keV
BE/A (keV) - Binding energy per nucleon in keV
Mass (mu-u) - Atomic mass in millionths of a standard atomic mass unit (Dalton)
------------------------------------------------
N,Z,A,EL,DEL_M (keV),BE/A (keV),Mass (mu-u)
69,45,114,Rh,-75710.625,8426.624,113918721.3
68,46,114,Pd,-83490.943,8488.01,113910368.8
67,47,114,Ag,-84930.8,8493.778,113908823
66,48,114,Cd,-90014.932,8531.513,113903365
65,49,114,In,-88569.801,8511.973,113904916.4
64,50,114,Sn,-90559.723,8522.566,113902780.1
63,51,114,Sb,-84496.574,8462.518,113909289.2
62,52,114,Te,-81888.569,8432.778,113912089
60,54,114,Xe,-67085.89,8289.205,113927980.3
59,55,114,Cs,-54682.261,8173.538,113941296.2
58,56,114,Ba,-45905.426,8089.686,113950718.5
72,43,115,Tc,-56319.99,8268.527,114939538
71,44,115,Ru,-66189.734,8347.547,114928942.4
70,45,115,Rh,-74229.831,8410.658,114920311
69,46,115,Pd,-80426.386,8457.738,114913658.7
68,47,115,Ag,-84982.654,8490.555,114908767.4
67,48,115,Cd,-88084.479,8510.724,114905437.4
66,49,115,In,-89536.346,8516.546,114903878.8
65,50,115,Sn,-90033.835,8514.069,114903344.7
64,51,115,Sb,-87003.403,8480.915,114906598
63,52,115,Te,-82062.759,8431.15,114911902
62,53,115,I,-76337.797,8374.564,114918048
61,54,115,Xe,-68656.748,8300.97,114926293.9
72,44,116,Ru,-64068.909,8326.883,115931219.2
71,45,116,Rh,-70736.122,8377.615,115924061.6
70,46,116,Pd,-79831.635,8449.28,115914297.2
69,47,116,Ag,-82542.653,8465.907,115911386.8
68,48,116,Cd,-88712.48,8512.35,115904763.2
67,49,116,In,-88249.749,8501.617,115905260
66,50,116,Sn,-91525.97,8523.116,115901742.8
65,51,116,Sb,-86822.15,8475.821,115906792.6
64,52,116,Te,-85268.961,8455.687,115908460
63,53,116,I,-77492.236,8381.902,115916808.7
62,54,116,Xe,-73046.724,8336.834,115921581.1
73,44,117,Ru,-59489.865,8285.562,116936135
72,45,117,Rh,-68897.373,8359.281,116926035.6
71,46,117,Pd,-76424.477,8416.929,116917954.9
70,47,117,Ag,-82182.014,8459.452,116911774
69,48,117,Cd,-86418.389,8488.973,116907226
68,49,117,In,-88943.042,8503.865,116904515.7
67,50,117,Sn,-90397.751,8509.611,116902954
66,51,117,Sb,-88639.539,8487.897,116904841.5
65,52,117,Te,-85095.411,8450.919,116908646.3
64,53,117,I,-80436.077,8404.409,116913648.3
63,54,117,Xe,-74185.337,8344.297,116920358.8
62,55,117,Cs,-66493.092,8271.864,116928616.7
61,56,117,Ba,-57457.753,8187.953,116938316.6
73,45,118,Rh,-64887.46,8322.858,117930340.4
72,46,118,Pd,-75388.746,8405.222,117919066.8
71,47,118,Ag,-79553.792,8433.889,117914595.5
70,48,118,Cd,-86701.641,8487.834,117906922
69,49,118,In,-87228.211,8485.667,117906356.7
68,50,118,Sn,-91652.853,8516.533,117901606.6
67,51,118,Sb,-87996.213,8478.915,117905532.2
66,52,118,Te,-87696.584,8469.746,117905853.8
65,53,118,I,-80971.048,8406.12,117913074
64,54,118,Xe,-78079.057,8374.981,117916178.7
63,55,118,Cs,-68409.367,8286.404,117926559.5
74,45,119,Rh,-62822.794,8303.394,118932557
73,46,119,Pd,-71407.902,8368.964,118923340.5
72,47,119,Ag,-78645.765,8423.212,118915570.3
71,48,119,Cd,-83977.068,8461.438,118909846.9
70,49,119,In,-87699.281,8486.143,118905850.9
69,50,119,Sn,-90065.022,8499.449,118903311.2
68,51,119,Sb,-89474.18,8487.91,118903945.5
67,52,119,Te,-87181.18,8462.066,118906407.1
66,53,119,I,-83765.53,8426.789,118910074
65,54,119,Xe,-78794.413,8378.441,118915410.7
64,55,119,Cs,-72305.051,8317.334,118922377.3
63,56,119,Ba,-64590.086,8245.928,118930659.7
74,46,120,Pd,-70280.05,8357.085,119924551.3
73,47,120,Ag,-75651.502,8395.327,119918784.8
72,48,120,Cd,-83957.354,8458.023,119909868.1
71,49,120,In,-85728.369,8466.262,119907966.8
70,50,120,Sn,-91098.369,8504.492,119902201.9
69,51,120,Sb,-88417.761,8475.635,119905079.6
68,52,120,Te,-89367.987,8477.034,119904059.5
67,53,120,I,-83752.987,8423.722,119910087.5
66,54,120,Xe,-82172.423,8404.031,119911784.3
65,55,120,Cs,-73888.639,8328.48,119920677.3
64,56,120,Ba,-68888.639,8280.294,119926045
76,45,121,Rh,-56250.128,8245.239,120939613
75,46,121,Pd,-66182.329,8320.858,120928950.3
74,47,121,Ag,-74402.821,8382.33,120920125.3
73,48,121,Cd,-81073.826,8430.996,120912963.7
72,49,121,In,-85835.974,8463.887,120907851.3
71,50,121,Sn,-89197.265,8485.201,120904242.8
70,51,121,Sb,-89600.321,8482.066,120903810.1
69,52,121,Te,-88545.502,8466.883,120904942.5
68,53,121,I,-86251.449,8441.458,120907405.3
67,54,121,Xe,-82480.986,8403.832,120911453
66,55,121,Cs,-77102.331,8352.914,120917227.2
65,56,121,Ba,-70744.837,8293.907,120924052.3
76,46,122,Pd,-64616.161,8305.975,121930631.7
75,47,122,Ag,-71106.108,8352.758,121923664.4
74,48,122,Cd,-80612.374,8424.266,121913459.1
73,49,122,In,-83572.741,8442.118,121910281
72,50,122,Sn,-89941.333,8487.907,121903444
71,51,122,Sb,-88335.37,8468.331,121905168.1
70,52,122,Te,-90314.46,8478.14,121903043.4
69,53,122,I,-86080.46,8437.023,121907588.8
68,54,122,Xe,-85354.977,8424.664,121908367.7
67,55,122,Cs,-78144.759,8359.151,121916108.1
66,56,122,Ba,-74608.944,8323.756,121919904
77,46,123,Pd,-60429.742,8270.031,122935126
76,47,123,Ag,-69548.078,8337.803,122925337.1
75,48,123,Cd,-77414.181,8395.395,122916892.5
74,49,123,In,-83430.353,8437.946,122910433.8
73,50,123,Sn,-87816.181,8467.243,122905725.4
72,51,123,Sb,-89224.069,8472.328,122904214
71,52,123,Te,-89172.156,8465.546,122904269.7
70,53,123,I,-87943.727,8449.198,122905588.5
69,54,123,Xe,-85248.701,8420.927,122908481.8
68,55,123,Cs,-81043.646,8380.379,122912996.1
67,56,123,Ba,-75654.953,8330.208,122918781.1
77,47,124,Ag,-66200.134,8308.655,123928931.2
76,48,124,Cd,-76701.672,8387.035,123917657.4
75,49,124,In,-80870.201,8414.343,123913182.3
74,50,124,Sn,-88234.193,8467.421,123905276.7
73,51,124,Sb,-87620.248,8456.16,123905935.8
72,52,124,Te,-90525.321,8473.279,123902817.1
71,53,124,I,-87365.734,8441.489,123906209
70,54,124,Xe,-87661.421,8437.565,123905891.6
69,55,124,Cs,-81731.334,8383.432,123912257.8
68,56,124,Ba,-79089.775,8355.82,123915093.6
67,57,124,La,-70258.61,8278.292,123924574.3
78,47,125,Ag,-64519.932,8293.314,124930735
77,48,125,Cd,-73348.095,8357.681,124921257.6
76,49,125,In,-80476.805,8408.452,124913604.6
75,50,125,Sn,-85896.376,8445.55,124907786.4
74,51,125,Sb,-88256.274,8458.17,124905253
73,52,125,Te,-89022.974,8458.045,124904429.9
72,53,125,I,-88837.204,8450.3,124904629.3
71,54,125,Xe,-87193.381,8430.89,124906394.1
70,55,125,Cs,-84087.95,8399.788,124909727.9
69,56,125,Ba,-79668.965,8358.178,124914471.8
68,57,125,La,-73759.484,8304.643,124920815.9
78,48,126,Cd,-72256.802,8346.747,125922429.1
77,49,126,In,-77772.908,8384.317,125916507.3
76,50,126,Sn,-86015.24,8443.523,125907658.8
75,51,126,Sb,-86393.24,8440.314,125907253
74,52,126,Te,-90065.348,8463.248,125903310.9
73,53,126,I,-87911.318,8439.944,125905623.3
72,54,126,Xe,-89146.962,8443.541,125904296.8
71,55,126,Cs,-84350.829,8399.268,125909445.7
70,56,126,Ba,-82669.902,8379.718,125911250.2
69,57,126,La,-74973.468,8312.426,125919512.7
68,58,126,Ce,-70820.558,8273.257,125923971
79,48,127,Cd,-68747.402,8316.945,126926196.6
78,49,127,In,-76896.184,8374.949,126917448.5
77,50,127,Sn,-83470.803,8420.557,126910390.4
76,51,127,Sb,-86699.477,8439.82,126906924.3
75,52,127,Te,-88281.678,8446.118,126905225.7
74,53,127,I,-88983.909,8445.487,126904471.8
73,54,127,Xe,-88321.56,8434.111,126905182.9
72,55,127,Cs,-86240.154,8411.562,126907417.4
71,56,127,Ba,-82817.944,8378.455,126911091.3
70,57,127,La,-77896.108,8333.54,126916375.1
69,58,127,Ce,-71979.336,8280.791,126922727
80,48,128,Cd,-67241.89,8303.264,127927812.9
79,49,128,In,-74145.941,8351.09,127920401.1
78,50,128,Sn,-83362.008,8416.979,127910507.2
77,51,128,Sb,-84630.286,8420.775,127909145.6
76,52,128,Te,-88993.716,8448.752,127904461.3
75,53,128,I,-87738.724,8432.836,127905808.6
74,54,128,Xe,-89860.298,8443.298,127903531
73,55,128,Cs,-85931.581,8406.493,127907748.6
72,56,128,Ba,-85378.497,8396.06,127908342.4
71,57,128,La,-78625.431,8337.19,127915592.1
70,58,128,Ce,-75533.917,8306.925,127918911
69,59,128,Pr,-66330.757,8228.913,127928791
81,48,129,Cd,-63058.046,8269.034,128932304.4
80,49,129,In,-72837.72,8338.78,128921805.5
79,50,129,Sn,-80590.903,8392.818,128913482.1
78,51,129,Sb,-84629.307,8418.058,128909146.7
77,52,129,Te,-87004.807,8430.409,128906596.5
76,53,129,I,-88507.125,8435.99,128904983.7
75,54,129,Xe,-88696.05896,8431.39,128904780.9
74,55,129,Cs,-87499.246,8416.047,128906065.7
73,56,129,Ba,-85063.198,8391.098,128908680.9
72,57,129,La,-81324.573,8356.052,128912694.5
71,58,129,Ce,-76287.496,8310.94,128918102
70,59,129,Pr,-69773.558,8254.38,128925095
82,48,130,Cd,-61117.589,8252.586,129934387.6
81,49,130,In,-69883.206,8313.996,129924977.3
80,50,130,Sn,-80132.206,8386.816,129913974.5
79,51,130,Sb,-82285.676,8397.363,129911662.7
78,52,130,Te,-87352.949,8430.324,129906222.7
77,53,130,I,-86936.138,8421.1,129906670.2
76,54,130,Xe,-89880.463,8437.731,129903509.3
75,55,130,Cs,-86899.743,8408.784,129906709.3
74,56,130,Ba,-87261.544,8405.549,129906320.9
73,57,130,La,-81627.366,8356.191,129912369.4
72,58,130,Ce,-79422.905,8333.216,129914736
71,59,130,Pr,-71175.457,8263.756,129923590
70,60,130,Nd,-66596.232,8222.513,129928506
83,48,131,Cd,-55218.965,8206.175,130940720
82,49,131,In,-68025.03,8297.959,130926972.1
81,50,131,Sn,-77264.571,8362.517,130917053.1
80,51,131,Sb,-81981.401,8392.552,130911989.3
79,52,131,Te,-85211.012,8411.233,130908522.2
78,53,131,I,-87442.71,8422.297,130906126.4
77,54,131,Xe,-88413.558,8423.736,130905084.1
76,55,131,Cs,-88058.786,8415.056,130905465
75,56,131,Ba,-86683.731,8398.587,130906941.2
74,57,131,La,-83769.256,8370.367,130910070
73,58,131,Ce,-79708.44,8333.396,130914429.5
72,59,131,Pr,-74300.656,8286.143,130920235
71,60,131,Nd,-67768.033,8230.304,130927248
83,49,132,In,-62411.542,8253.715,131932998.4
82,50,132,Sn,-76546.542,8354.872,131917823.9
81,51,132,Sb,-79635.271,8372.344,131914508
80,52,132,Te,-85188.186,8408.485,131908546.7
79,53,132,I,-85703.49,8406.462,131907993.5
78,54,132,Xe,-89278.96179,8427.622,131904155.1
77,55,132,Cs,-87152.681,8405.587,131906437.7
76,56,132,Ba,-88435.017,8409.375,131905061.1
75,57,132,La,-83723.65,8367.756,131910119
74,58,132,Ce,-82470.896,8352.338,131911463.8
73,59,132,Pr,-75227.456,8291.537,131919240
72,60,132,Nd,-71425.807,8256.81,131923321.2
83,50,133,Sn,-70873.88,8310.088,132923913.8
82,51,133,Sb,-78923.503,8364.729,132915272.1
81,52,133,Te,-82937.122,8389.025,132910963.3
80,53,133,I,-85858.26,8405.106,132907827.4
79,54,133,Xe,-87643.571,8412.647,132905910.8
78,55,133,Cs,-88070.931,8409.978,132905452
77,56,133,Ba,-87553.613,8400.206,132906007.3
76,57,133,La,-85494.383,8378.841,132908218
75,58,133,Ce,-82418.214,8349.829,132911520.4
74,59,133,Pr,-77937.581,8310.258,132916330.6
73,60,133,Nd,-72332.372,8262.231,132922348
72,61,133,Pm,-65407.646,8204.283,132929782
84,50,134,Sn,-66433.748,8275.171,133928680.4
83,51,134,Sb,-74020.542,8325.95,133920535.7
82,52,134,Te,-82533.741,8383.643,133911396.4
81,53,134,I,-84043.429,8389.071,133909775.7
80,54,134,Xe,-88125.822,8413.699,133905393
79,55,134,Cs,-86891.154,8398.646,133906718.5
78,56,134,Ba,-88949.853,8408.171,133904508.4
77,57,134,La,-85218.65,8374.488,133908514
76,58,134,Ce,-84832.889,8365.771,133908928.1
75,59,134,Pr,-78527.991,8312.881,133915696.7
74,60,134,Nd,-75646.432,8285.538,133918790.2
73,61,134,Pm,-66738.751,8213.225,133928353
85,50,135,Sn,-60632.244,8230.687,134934908.6
84,51,135,Sb,-69690.323,8291.989,134925184.4
83,52,135,Te,-77728.78,8345.738,134916554.7
82,53,135,I,-83779.145,8384.76,134910059.4
81,54,135,Xe,-86413.151,8398.476,134907231.7
80,55,135,Cs,-87581.643,8401.336,134905977.2
79,56,135,Ba,-87850.498,8397.533,134905688.6
78,57,135,La,-86643.317,8382.795,134906984.6
77,58,135,Ce,-84616.171,8361.984,134909160.8
76,59,135,Pr,-80935.861,8328.928,134913111.8
75,60,135,Nd,-76213.609,8288.153,134918181.3
74,61,135,Pm,-70052.075,8236.717,134924796
73,62,135,Sm,-62857.215,8177.626,134932520
85,51,136,Sb,-64506.88,8252.252,135930749
84,52,136,Te,-74425.269,8319.429,135920101.2
83,53,136,I,-79545.214,8351.323,135914604.7
82,54,136,Xe,-86429.159,8396.188,135907214.5
81,55,136,Cs,-86338.697,8389.77,135907311.6
80,56,136,Ba,-88886.921,8402.755,135904576
79,57,136,La,-86037.479,8376.05,135907635
78,58,136,Ce,-86508.372,8373.76,135907129.4
77,59,136,Pr,-81340.355,8330.008,135912677.5
76,60,136,Nd,-79199.287,8308.512,135914976.1
75,61,136,Pm,-71169.915,8243.72,135923595.9
74,62,136,Sm,-66810.89,8205.916,135928275.6
86,51,137,Sb,-60060.384,8218.476,136935522.5
85,52,137,Te,-69303.753,8280.235,136925599.4
84,53,137,I,-76356.258,8326.002,136918028.2
83,54,137,Xe,-82383.404,8364.286,136911557.8
82,55,137,Cs,-86545.606,8388.956,136907089.5
81,56,137,Ba,-87721.235,8391.827,136905827.4
80,57,137,La,-87140.688,8381.879,136906450.6
79,58,137,Ce,-85918.588,8367.248,136907762.6
78,59,137,Pr,-83201.693,8341.706,136910679.3
77,60,137,Nd,-79584.567,8309.593,136914562.4
76,61,137,Pm,-74072.848,8263.651,136920479.5
75,62,137,Sm,-68026.525,8213.806,136926970.5
74,63,137,Eu,-60145.895,8150.573,136935430.7
87,51,138,Sb,-54220.403,8175.091,137941792
86,52,138,Te,-65695.985,8252.578,137929472.5
85,53,138,I,-71979.9,8292.444,137922726.4
84,54,138,Xe,-79972.233,8344.69,137914146.3
83,55,138,Cs,-82886.937,8360.142,137911017.2
82,56,138,Ba,-88261.638,8393.42,137905247.2
81,57,138,La,-86519.18,8375.125,137907117.8
80,58,138,Ce,-87570.922,8377.077,137905988.7
79,59,138,Pr,-83133.922,8339.255,137910752.1
78,60,138,Nd,-82018.31,8325.502,137911949.7
77,61,138,Pm,-74940.483,8268.544,137919548.1
76,62,138,Sm,-71497.762,8237.928,137923244
75,63,138,Eu,-61749.669,8161.62,137933709
87,52,139,Te,-60205.072,8211.771,138935367.2
86,53,139,I,-68470.954,8265.609,138926493.4
85,54,139,Xe,-75644.576,8311.59,138918792.2
84,55,139,Cs,-80700.921,8342.338,138913364
83,56,139,Ba,-84913.751,8367.017,138908841.3
82,57,139,La,-87226.212,8378.025,138906358.8
81,58,139,Ce,-86947.862,8370.395,138906657.6
80,59,139,Pr,-84818.798,8349.449,138908943.3
79,60,139,Nd,-82013.942,8323.642,138911954.4
78,61,139,Pm,-77500.481,8285.543,138916799.8
77,62,139,Sm,-72380.219,8243.078,138922296.6
76,63,139,Eu,-65398.042,8187.218,138929792.3
88,52,140,Te,-56576.228,8184.847,139939262.9
87,53,140,I,-63606.213,8229.473,139931715.9
86,54,140,Xe,-72986.451,8290.887,139921645.8
85,55,140,Cs,-77050.105,8314.325,139917283.3
84,56,140,Ba,-83269.354,8353.16,139910606.7
83,57,140,La,-84315.871,8355.047,139909483.2
82,58,140,Ce,-88076.089,8376.317,139905446.4
81,59,140,Pr,-84688.089,8346.529,139909083.6
80,60,140,Nd,-84258.912,8337.875,139909544.3
79,61,140,Pm,-78213.712,8289.107,139916034.1
78,62,140,Sm,-75455.935,8263.82,139918994.7
77,63,140,Eu,-66985.935,8197.732,139928087.6
76,64,140,Gd,-61782.271,8154.975,139933674
75,65,140,Tb,-50482.271,8068.672,139945805
88,53,141,I,-59926.657,8202.255,140935666.1
87,54,141,Xe,-68197.299,8255.364,140926787.2
86,55,141,Cs,-74477.523,8294.356,140920045.1
85,56,141,Ba,-79732.626,8326.078,140914403.5
84,57,141,La,-82931.636,8343.217,140910969.2
83,58,141,Ce,-85432.916,8355.408,140908284
82,59,141,Pr,-86015.644,8353.992,140907658.4
81,60,141,Nd,-84192.63,8335.515,140909615.5
80,61,141,Pm,-80522.921,8303.94,140913555.1
79,62,141,Sm,-75933.909,8265.845,140918481.6
78,63,141,Eu,-69925.629,8217.684,140924931.7
77,64,141,Gd,-63224.224,8164.608,140932126
76,65,141,Tb,-54540.837,8097.475,140941448
89,53,142,I,-54769.984,8165.019,141941202
88,54,142,Xe,-65229.639,8233.169,141929973.1
87,55,142,Cs,-70514.55,8264.877,141924299.5
86,56,142,Ba,-77842.264,8310.971,141916432.9
85,57,142,La,-80024.227,8320.828,141914090.5
84,58,142,Ce,-84533.188,8347.071,141909249.9
83,59,142,Pr,-83787.476,8336.31,141910050.4
82,60,142,Nd,-85949.98,8346.03,141907728.9
81,61,142,Pm,-81142.044,8306.662,141912890.4
80,62,142,Sm,-78986.47,8285.972,141915204.5
79,63,142,Eu,-71313.47,8226.427,141923441.8
78,64,142,Gd,-66959.515,8190.256,141928116
77,65,142,Tb,-56559.515,8111.507,141939280.9
89,54,143,Xe,-60202.873,8196.885,142935369.6
88,55,143,Cs,-67675.509,8243.67,142927347.3
87,56,143,Ba,-73937.197,8281.987,142920625.2
86,57,143,La,-78171.515,8306.127,142916079.4
85,58,143,Ce,-81606.671,8324.678,142912391.6
84,59,143,Pr,-83068.246,8329.428,142910822.6
83,60,143,Nd,-84002.234,8330.488,142909819.9
82,61,143,Pm,-82960.651,8317.733,142910938.1
81,62,143,Sm,-79517.152,8288.182,142914634.8
80,63,143,Eu,-74241.3,8245.817,142920298.7
79,64,143,Gd,-68231.3,8198.318,142926750.7
78,65,143,Tb,-60419.183,8138.217,142935137.3
77,66,143,Dy,-52168.941,8075.052,142943994.3
90,54,144,Xe,-56872.293,8172.884,143938945.1
89,55,144,Cs,-63271.353,8211.889,143932075.4
88,56,144,Ba,-71767.121,8265.454,143922954.8
87,57,144,La,-74849.652,8281.428,143919645.6
86,58,144,Ce,-80431.87,8314.76,143913652.8
85,59,144,Pr,-80750.517,8311.54,143913310.8
84,60,144,Nd,-83747.957,8326.922,143910092.9
83,61,144,Pm,-81416.093,8305.296,143912596.2
82,62,144,Sm,-81965.535,8303.679,143912006.4
81,63,144,Eu,-75619.133,8254.173,143918819.5
80,64,144,Gd,-71759.504,8221.937,143922963
79,65,144,Tb,-62368.181,8151.287,143933045
78,66,144,Dy,-56570.083,8105.589,143939269.5
77,67,144,Ho,-44609.513,8017.097,143952109.7
91,54,145,Xe,-51493.329,8135.087,144944719.6
90,55,145,Cs,-60054.415,8188.733,144935528.9
89,56,145,Ba,-67516.176,8234.798,144927518.4
88,57,145,La,-72835.317,8266.087,144921808.1
87,58,145,Ce,-77067.022,8289.875,144917265.1
86,59,145,Pr,-79625.94,8302.127,144914518
85,60,145,Nd,-81431.951,8309.187,144912579.2
84,61,145,Pm,-81267.474,8302.657,144912755.8
83,62,145,Sm,-80651.318,8293.013,144913417.2
82,63,145,Eu,-77991.507,8269.274,144916272.7
81,64,145,Gd,-72926.32,8228.946,144921710.4
80,65,145,Tb,-66388.411,8178.461,144928729.1
79,66,145,Dy,-58242.599,8116.888,144937474
78,67,145,Ho,-49120.105,8048.578,144947267.4
92,54,146,Xe,-47954.943,8110.415,145948518.2
91,55,146,Cs,-55310.372,8155.436,145940621.9
90,56,146,Ba,-64947.086,8216.082,145930276.4
89,57,146,La,-69050.283,8238.828,145925871.5
88,58,146,Ce,-75635.389,8278.573,145918802.1
87,59,146,Pr,-76681.006,8280.376,145917679.5
86,60,146,Nd,-80925.867,8304.092,145913122.5
85,61,146,Pm,-79454.309,8288.654,145914702.3
84,62,146,Sm,-80996.309,8293.857,145913046.9
83,63,146,Eu,-77117.541,8261.932,145917210.9
82,64,146,Gd,-76085.783,8249.506,145918318.5
81,65,146,Tb,-67763.61,8187.146,145927252.8
80,66,146,Dy,-62554.918,8146.112,145932844.5
79,67,146,Ho,-51238.219,8063.242,145944993.5
78,68,146,Er,-44322.012,8010.512,145952418.4
92,55,147,Cs,-51920.064,8131.8,146944261.5
91,56,147,Ba,-60264.029,8183.24,146935303.9
90,57,147,La,-66678.39,8221.553,146928417.8
89,58,147,Ce,-72013.891,8252.527,146922689.9
88,59,147,Pr,-75444.067,8270.539,146919007.5
87,60,147,Nd,-78146.748,8283.603,146916106
86,61,147,Pm,-79042.26,8284.372,146915144.6
85,62,147,Sm,-79266.354,8280.575,146914904.1
84,63,147,Eu,-77544.756,8263.541,146916752.3
83,64,147,Gd,-75356.945,8243.336,146919101
82,65,147,Tb,-70742.665,8206.624,146924054.6
81,66,147,Dy,-64196.038,8156.767,146931082.7
80,67,147,Ho,-55757.092,8094.037,146940142.3
79,68,147,Er,-46607.807,8026.475,146949964.5
78,69,147,Tm,-35974.4,7948.817,146961379.9
93,55,148,Cs,-46910.942,8097.546,147949639
92,56,148,Ba,-57593.735,8164.441,147938170.6
91,57,148,La,-62708.735,8193.716,147932679.4
90,58,148,Ce,-70398.408,8240.387,147924424.2
89,59,148,Pr,-72535.424,8249.54,147922130
88,60,148,Nd,-77407.996,8277.177,147916899.1
87,61,148,Pm,-76865.716,8268.226,147917481.3
86,62,148,Sm,-79336.264,8279.633,147914829
85,63,148,Eu,-76299.331,8253.827,147918089.3
84,64,148,Gd,-76269.329,8248.338,147918121.5
83,65,148,Tb,-70537.082,8204.321,147924275.3
82,66,148,Dy,-67859.55,8180.943,147927149.8
81,67,148,Ho,-57991.158,8108.979,147937743.9
80,68,148,Er,-51478.989,8059.692,147944735
79,69,148,Tm,-38765.027,7968.5,147958384
93,56,149,Ba,-53120.309,8133.793,148942973
92,57,149,La,-60219.913,8176.191,148935351.3
91,58,149,Ce,-66669.913,8214.229,148928426.9
90,59,149,Pr,-71039.366,8238.303,148923736.1
89,60,149,Nd,-74375.466,8255.442,148920154.6
88,61,149,Pm,-76064.256,8261.526,148918341.7
87,62,149,Sm,-77135.737,8263.466,148917191.4
86,63,149,Eu,-76441.112,8253.554,148917937.1
85,64,149,Gd,-75127.011,8239.484,148919347.8
84,65,149,Tb,-71488.669,8209.815,148923253.8
83,66,149,Dy,-67695.909,8179.109,148927325.4
82,67,149,Ho,-61646.578,8133.259,148933819.7
81,68,149,Er,-53741.615,8074.955,148942306
93,57,150,La,-56129.966,8148.225,149939742
92,58,150,Ce,-64846.854,8201.122,149930384
91,59,150,Pr,-68300.479,8218.931,149926676.4
90,60,150,Nd,-73679.755,8249.577,149920901.5
89,61,150,Pm,-73597.139,8243.81,149920990.2
88,62,150,Sm,-77051.139,8261.621,149917282.2
87,63,150,Eu,-74792.234,8241.346,149919707.2
86,64,150,Gd,-75763.934,8242.609,149918664.1
85,65,150,Tb,-71105.721,8206.338,149923664.9
84,66,150,Dy,-69309.6,8189.149,149925593.1
83,67,150,Ho,-61945.881,8134.842,149933498.4
82,68,150,Er,-57831.313,8102.195,149937915.5
94,57,151,La,-53310.333,8129.043,150942769
93,58,151,Ce,-61225.052,8176.277,150934272.2
92,59,151,Pr,-66779.63,8207.881,150928309.1
91,60,151,Nd,-70942.988,8230.272,150923839.6
90,61,151,Pm,-73386.063,8241.27,150921216.8
89,62,151,Sm,-74576.279,8243.971,150919939.1
88,63,151,Eu,-74652.854,8239.297,150919856.9
87,64,151,Gd,-74188.737,8231.043,150920355.1
86,65,151,Tb,-71623.504,8208.873,150923109
85,66,151,Dy,-68752.405,8184.678,150926191.3
84,67,151,Ho,-63622.738,8145.526,150931698.2
83,68,151,Er,-58266.284,8104.872,150937448.6
82,69,151,Tm,-50772.756,8050.064,150945493.2
81,70,151,Yb,-41542.342,7983.755,150955402.5
93,59,152,Pr,-63758.063,8187.104,151931552.9
92,60,152,Nd,-70149.407,8224.005,151924691.5
91,61,152,Pm,-71254.186,8226.127,151923505.5
90,62,152,Sm,-74762.603,8244.061,151919739
89,63,152,Eu,-72888.255,8226.583,151921751.2
88,64,152,Gd,-74706.916,8233.401,151919798.8
87,65,152,Tb,-70716.916,8202.004,151924082.3
86,66,152,Dy,-70117.873,8192.916,151924725.4
85,67,152,Ho,-63604.771,8144.919,151931717.5
84,68,152,Er,-60500.377,8119.349,151935050.2
83,69,152,Tm,-51720.273,8056.438,151944476
82,70,152,Yb,-46270.381,8015.436,151950326.7
94,59,153,Pr,-61568.463,8172.036,152933903.5
93,60,153,Nd,-67330.297,8204.582,152927717.9
92,61,153,Pm,-70647.824,8221.152,152924156.4
91,62,153,Sm,-72559.686,8228.534,152922104
90,63,153,Eu,-73367.222,8228.699,152921237
89,64,153,Gd,-72882.551,8220.418,152921757.4
88,65,153,Tb,-71313.338,8205.048,152923442
87,66,153,Dy,-69142.943,8185.749,152925772
86,67,153,Ho,-65012.103,8153.637,152930206.6
85,68,153,Er,-60468.604,8118.827,152935084.3
84,69,153,Tm,-53973.329,8071.261,152942057.2
82,71,153,Lu,-38372.844,7959.07,152958805.1
95,59,154,Pr,-58104.976,8148.892,153937621.7
94,60,154,Nd,-65824.976,8193.942,153929334
93,61,154,Pm,-68511.976,8206.31,153926449.4
92,62,154,Sm,-72455.176,8226.835,153922216.2
91,63,154,Eu,-71738.121,8217.098,153922986
90,64,154,Gd,-73705.954,8224.796,153920873.4
89,65,154,Tb,-70156.303,8196.666,153924684.1
88,66,154,Dy,-70393.907,8193.129,153924429
87,67,154,Ho,-64639.311,8150.681,153930606.8
86,68,154,Er,-62605.02,8132.392,153932790.7
85,69,154,Tm,-54427.131,8074.208,153941570.1
84,70,154,Yb,-49932.083,8039.939,153946395.7
96,59,155,Pr,-55415.268,8131.039,154940509.3
95,60,155,Nd,-62283.724,8170.304,154933135.7
94,61,155,Pm,-66939.931,8195.296,154928137
93,62,155,Sm,-70190.819,8211.223,154924647.1
92,63,155,Eu,-71818.092,8216.674,154922900.1
91,64,155,Gd,-72069.88,8213.251,154922629.8
90,65,155,Tb,-71250.05,8202.914,154923509.9
89,66,155,Dy,-69155.55,8184.354,154925758.5
88,67,155,Ho,-66039.539,8159.203,154929103.6
87,68,155,Er,-62209.189,8129.444,154933215.7
86,69,155,Tm,-56625.913,8088.375,154939209.6
85,70,155,Yb,-50502.608,8043.823,154945783.2
84,71,155,Lu,-42545.047,7987.436,154954326
96,60,156,Nd,-60473.644,8158.066,155935078.9
